synapse ID,presynaptic,postsynaptic,,,,,,
38755,M1,pm1VL,,,,,,
38755,M1,I2L,,,,,,
38757,M1,pm1D,,,,,,
38757,M1,pm1VL,,,,,,
38762,M1,pm1VL,,,,,,
38762,M1,I2L,,,,,,
38770,M1,pm3VL,,,,,,
38770,M1,I1L,,,,,,
38772,M1,I1L,,,,,,
38772,M1,pm3VL,,,,,,
38777,I2L,e2VL,,,,,,
38777,I2L,M1,,,,,,
38779,M1,I2L,,,,,,
38779,M1,I1L,,,,,,
38781,M1,pm3VL,,,,,,
38781,M1,e2VL,,,,,,
38783,M1,I2L,,,,,,
38785,M1,I1L,,,,,,
38785,M1,I2L,,,,,,
38787,M1,I1L,,,,,,
38787,M1,I2L,,,,,,
38789,I2L,M1,,,,,,
38789,I2L,I1L,,,,,,
38791,M1,pm3VL,,,,,,
38791,M1,I1L,,,,,,
38796,M1,I1L,,,,,,
38796,M1,I2L,,,,,,
38796,M1,e3VL,,,,,,
38798,I2L,M1,,,,,,
38798,I2L,pm3VL,,,,,,
38800,M1,I1L,,,,,,
38800,M1,pm3VL,,,,,,
38802,M1,I2L,,,,,,
38804,M1,I2L,,,,,,
38804,M1,pm3VL,,,,,,
38806,I2L,M1,,,,,,
38806,I2L,pm3VL,,,,,,
38808,M1,I2L,,,,,,
38808,M1,pm3VL,,,,,,
38810,M1,I2L,,,,,,
38810,M1,pm3VL,,,,,,
38812,M1,pm1D,,,,,,
38814,M1,pm1D,,,,,,
38814,M1,pm3D,,,,,,
38819,M1,pm1D,,,,,,
38821,M1,pm3D,,,,,,
38823,M1,pm3D,,,,,,
38828,M1,g1D,,,,,,
38846,M1,g1D,,,,,,
38846,M1,pm3D,,,,,,
38851,M1,e3D,,,,,,
38851,M1,I3,,,,,,
38851,M1,g1D,,,,,,
38853,M1,e3D,,,,,,
38853,M1,pm3D,,,,,,
38855,M1,pm3D,,,,,,
38855,M1,g1D,,,,,,
38857,M1,pm3D,,,,,,
38857,M1,g1D,,,,,,
38862,M1,I5,,,,,,
38862,M1,e3D,,,,,,
38864,M1,I3,,,,,,
38864,M1,I5,,,,,,
38864,M1,e3D,,,,,,
38866,M1,g1D,,,,,,
38866,M1,pm3D,,,,,,
38868,M1,pm3D,,,,,,
38868,M1,g1D,,,,,,
38870,M1,g1D,,,,,,
38870,M1,pm3D,,,,,,
38872,M1,pm3D,,,,,,
38872,M1,g1D,,,,,,
38874,M1,e3D,,,,,,
38874,M1,I3,,,,,,
38876,M1,e3D,,,,,,
38876,M1,pm3D,,,,,,
38878,M1,I3,,,,,,
38880,M1,pm2DL,,,,,,
38882,M1,pm2DR,,,,,,
38884,M1,pm1VR,,,,,,
38884,M1,pm3D,,,,,,
38895,M1,pm1VR,,,,,,
38895,M1,I2R,,,,,,
38897,M1,I2R,,,,,,
38897,M1,I1R,,,,,,
38899,M1,I1R,,,,,,
38899,M1,I2R,,,,,,
38901,M1,I1R,,,,,,
38901,M1,I2R,,,,,,
38906,M1,I2R,,,,,,
38906,M1,e3VR,,,,,,
38908,M1,I2R,,,,,,
38908,M1,I1R,,,,,,
38912,M1,I2R,,,,,,
38912,M1,I1R,,,,,,
38914,M1,I2R,,,,,,
38914,M1,I1R,,,,,,
38916,M1,pm3VR,,,,,,
38921,M1,pm3VR,,,,,,
38923,M1,pm3VR,,,,,,
38923,M1,I1R,,,,,,
38928,M1,I2R,,,,,,
38928,M1,pm2VRL,,,,,,
38932,M1,pm3VR,,,,,,
38934,M1,pm3VR,,,,,,
38934,M1,I1R,,,,,,
38936,M1,pm3VR,,,,,,
38936,M1,I2R,,,,,,
38938,M1,I2R,,,,,,
38941,M1,I2R,,,,,,
38941,M1,I1R,,,,,,
38943,M1,I2R,,,,,,
38943,M1,pm3VR,,,,,,
38958,M1,I2R,,,,,,
38958,M1,I1R,,,,,,
38960,M1,I2R,,,,,,
38960,M1,pm1VR,,,,,,
38962,M1,pm3VR,,,,,,
38965,M1,pm3VL,,,,,,
38965,M1,I2L,,,,,,
38967,I2L,M1,,,,,,
38967,I2L,I1L,,,,,,
38969,M1,I2L,,,,,,
38969,M1,I1L,,,,,,
38974,M1,I1L,,,,,,
38974,M1,pm1VL,,,,,,
38976,M1,I2L,,,,,,
38976,M1,pm3VL,,,,,,
38978,I2L,M1,,,,,,
38978,I2L,pm3VL,,,,,,
38980,M1,pm4,,,,,,
38982,M1,pm3D,,,,,,
38982,M1,g1D,,,,,,
38986,M1,pm3D,,,,,,
38986,M1,g1D,,,,,,
38988,M1,pm3D,,,,,,
38988,M1,g1D,,,,,,
38990,M1,pm3D,,,,,,
38990,M1,g1D,,,,,,
38992,M1,pm3D,,,,,,
38992,M1,e3D,,,,,,
38994,M1,g1D,,,,,,
38994,M1,I3,,,,,,
38996,M1,pm3D,,,,,,
38996,M1,g1D,,,,,,
38998,M1,g1D,,,,,,
38998,M1,I3,,,,,,
39015,I2L,M1,,,,,,
39020,M1,I2R,,,,,,
39020,M1,pm3VR,,,,,,
39052,I2L,I1R,,,,,,
39052,I2L,pm4,,,,,,
39129,I2L,M4,,,,,,
39129,I2L,I2R,,,,,,
39303,I2L,NSMR,,,,,,
39659,I2L,M1,,,,,,
39659,I2L,pm4,,,,,,
39662,I2L,I1L,,,,,,
39664,I2L,pm5,,,,,,
39666,I2L,MCL,,,,,,
39666,I2L,I1R,,,,,,
39668,I2L,pm4,,,,,,
39670,I2L,M3R,,,,,,
39670,I2L,pm4,,,,,,
39672,I2L,pm4,,,,,,
40631,I2L,I6,,,,,,
39075,I1L,I1R,,,,,,
39075,I1L,g1D,,,,,,
39086,I1L,I1R,,,,,,
39086,I1L,g1D,,,,,,
