presynaptic,postsynaptic,synapse ID,,,,,,
I1R,MI,28324,,,,,,
I1R,M3R,19722,,,,,,
I1R,M3R,19750,,,,,,
I1R,I3,19781,,,,,,
I1R,M3L,19748,,,,,,
I1R,I5,19738,,,,,,
I1R,I5,19755,,,,,,
I1R,I5,19757,,,,,,
I1R,mc2DR,19740,,,,,,
I1R,mc1DR,19740,,,,,,
I1R,g1D,19755,,,,,,
I1R,g1D,19757,,,,,,
I1R,g1D,19781,,,,,,
I1R,pm1VR,27459,,,,,,
M1,pm3VR,19766,,,,,,
M1,pm3VR,19779,,,,,,
M1,pm3VR,27629,,,,,,
M1,pm3VR,27631,,,,,,
M1,pm3VR,27633,,,,,,
M1,pm3VR,27635,,,,,,
M1,pm3VR,27639,,,,,,
M1,e3D,27667,,,,,,
M1,e3D,27673,,,,,,
M1,I1R,19716,,,,,,
M1,I1R,19718,,,,,,
M1,I1R,19720,,,,,,
M1,I1R,19779,,,,,,
M1,I1R,27310,,,,,,
M1,I1R,27627,,,,,,
M1,I1R,27643,,,,,,
M1,I2R,19716,,,,,,
M1,I2R,19720,,,,,,
M1,I2R,19762,,,,,,
M1,I2R,19766,,,,,,
M1,I2R,27014,,,,,,
M1,I2R,27310,,,,,,
M1,I2R,27641,,,,,,
M1,I2R,27643,,,,,,
M1,I2R,19718,,,,,,
M1,I1L,27436,,,,,,
M1,I1L,27440,,,,,,
M1,I1L,27442,,,,,,
M1,I1L,27444,,,,,,
M1,I1L,27448,,,,,,
M1,I1L,27450,,,,,,
M1,I1L,27512,,,,,,
M1,I1L,27597,,,,,,
M1,I2L,27436,,,,,,
M1,I2L,27440,,,,,,
M1,I2L,27444,,,,,,
M1,I2L,27448,,,,,,
M1,I2L,27450,,,,,,
M1,I2L,27491,,,,,,
M1,I2L,27493,,,,,,
M1,I2L,27495,,,,,,
M1,I2L,27502,,,,,,
M1,I2L,27504,,,,,,
M1,I2L,27506,,,,,,
M1,I2L,27599,,,,,,
M1,I2L,27607,,,,,,
M1,I3,27316,,,,,,
M1,I3,27321,,,,,,
M1,I3,27667,,,,,,
M1,I3,27673,,,,,,
M1,I3,27682,,,,,,
M1,g1D,27321,,,,,,
M1,g1D,27663,,,,,,
M1,g1D,27665,,,,,,
M1,g1D,27669,,,,,,
M1,g1D,27671,,,,,,
M1,g1D,27682,,,,,,
M1,g1D,27684,,,,,,
M1,g1D,27686,,,,,,
M1,g1D,27688,,,,,,
M1,pm1VR,19762,,,,,,
M1,pm1VR,27310,,,,,,
M1,pm1VR,27649,,,,,,
M1,e3VL,27506,,,,,,
M1,e3VL,27595,,,,,,
M1,e3VL,27607,,,,,,
M1,e3VR,27637,,,,,,
M1,e2VL,27493,,,,,,
M1,e2VL,27601,,,,,,
M1,e2VL,27603,,,,,,
M1,e2VR,27641,,,,,,
M1,e2VR,27647,,,,,,
M1,pm3VL,27493,,,,,,
M1,pm3VL,27504,,,,,,
M1,pm3VL,27597,,,,,,
M1,pm3VL,27599,,,,,,
M1,pm3VL,27601,,,,,,
M1,pm3VL,27603,,,,,,
M1,pm4,27591,,,,,,
M1,pm4,27623,,,,,,
M1,pm4,27625,,,,,,
M1,pm1D,27316,,,,,,
M1,pm1D,27614,,,,,,
M1,pm1D,27616,,,,,,
M1,pm1D,27649,,,,,,
M1,pm1D,27656,,,,,,
M1,pm1D,27658,,,,,,
M1,pm2VLL,27500,,,,,,
M1,pm2VLL,27609,,,,,,
M1,pm2VLL,27614,,,,,,
M1,pm1VL,27491,,,,,,
M1,pm1VL,27593,,,,,,
M1,pm1VL,27607,,,,,,
M1,pm2DL,27618,,,,,,
M1,pm2DR,27651,,,,,,
M1,pm3D,27658,,,,,,
M1,pm3D,27663,,,,,,
M1,pm3D,27665,,,,,,
M1,pm3D,27669,,,,,,
M1,pm3D,27671,,,,,,
M1,pm3D,27684,,,,,,
M1,pm3D,27686,,,,,,
M1,pm3D,27688,,,,,,
M1,pm3D,27694,,,,,,
M1,pm2VRL,28330,,,,,,
I2R,pm3VR,27016,,,,,,
I2R,pm3VR,27049,,,,,,
I2R,pm3VR,27077,,,,,,
I2R,I1R,19714,,,,,,
I2R,I1R,27079,,,,,,
I2R,M1,19714,,,,,,
I2R,M1,27016,,,,,,
I2R,M1,27020,,,,,,
I2R,M1,27079,,,,,,
I2R,I1L,27029,,,,,,
I2R,I1L,27296,,,,,,
I2R,M3L,27296,,,,,,
I2R,MCR,27291,,,,,,
I2R,NSML,27296,,,,,,
I2R,e3VR,27079,,,,,,
I2R,I6,27020,,,,,,
I2R,pm4,27022,,,,,,
I2R,pm4,27298,,,,,,
I2R,pm4,27306,,,,,,
I2R,pm4,28299,,,,,,
I2R,pm4,28311,,,,,,
I2R,pm4,28313,,,,,,
I2R,pm5,27300,,,,,,
I2R,pm5,27306,,,,,,
I2R,pm5,27308,,,,,,
I2R,pm5,28299,,,,,,
I1L,e3D,27489,,,,,,
I1L,I2R,27467,,,,,,
I1L,MI,27465,,,,,,
I1L,MI,27477,,,,,,
I1L,M3R,27430,,,,,,
I1L,M3R,27481,,,,,,
I1L,M3L,27463,,,,,,
I1L,M3L,27467,,,,,,
I1L,M3L,27469,,,,,,
I1L,M3L,27473,,,,,,
I1L,M3L,27485,,,,,,
I1L,M3L,27585,,,,,,
I1L,I5,27585,,,,,,
I1L,g1D,27430,,,,,,
I1L,g1D,27485,,,,,,
I1L,g1D,27487,,,,,,
I1L,g1D,27489,,,,,,
I1L,g1D,28322,,,,,,
I1L,I6,27473,,,,,,
I1L,pm4,27479,,,,,,
I1L,M2L,28320,,,,,,
I1L,pm1VL,27457,,,,,,
I1L,pm1VL,27510,,,,,,
I2L,I1R,19724,,,,,,
I2L,M1,19768,,,,,,
I2L,M1,27452,,,,,,
I2L,M1,27514,,,,,,
I2L,I1L,27438,,,,,,
I2L,I1L,27452,,,,,,
I2L,M3R,27408,,,,,,
I2L,M3R,27412,,,,,,
I2L,M3R,27526,,,,,,
I2L,M3R,27540,,,,,,
I2L,M3R,27542,,,,,,
I2L,NSMR,19724,,,,,,
I2L,NSMR,27412,,,,,,
I2L,MCL,28326,,,,,,
I2L,I6,27412,,,,,,
I2L,I6,27514,,,,,,
I2L,I6,27518,,,,,,
I2L,I6,27520,,,,,,
I2L,pm3VL,19768,,,,,,
I2L,pm3VL,19770,,,,,,
I2L,pm4,27408,,,,,,
I2L,pm4,27524,,,,,,
I2L,pm4,27526,,,,,,
I2L,pm4,28326,,,,,,
I2L,pm5,27516,,,,,,
I2L,pm5,27528,,,,,,
I2L,pm5,27544,,,,,,
MI,M1,27349,,,,,,
MI,M1,27355,,,,,,
MI,M3R,28332,,,,,,
MI,I3,27353,,,,,,
MI,I3,27377,,,,,,
MI,I3,27379,,,,,,
MI,M3L,27355,,,,,,
MI,M3L,27369,,,,,,
MI,I5,27357,,,,,,
MI,I5,27363,,,,,,
MI,I5,27365,,,,,,
MI,I5,27711,,,,,,
MI,M4,27395,,,,,,
MI,MCL,27357,,,,,,
MI,MCR,27369,,,,,,
MI,MCR,27395,,,,,,
MI,I6,27361,,,,,,
MI,pm4,27373,,,,,,
MI,pm5,27361,,,,,,
MI,pm5,27367,,,,,,
MI,pm5,27375,,,,,,
M3R,g1D,27426,,,,,,
M3R,g1D,27428,,,,,,
M3R,pm4,27418,,,,,,
M3R,pm4,27422,,,,,,
M3R,pm4,27424,,,,,,
M3R,pm4,27428,,,,,,
M3R,pm4,27432,,,,,,
I3,M1,27325,,,,,,
I3,M1,27329,,,,,,
I3,I2R,27018,,,,,,
I3,I2R,27294,,,,,,
I3,MI,27018,,,,,,
I3,MI,27294,,,,,,
I3,MI,27325,,,,,,
I3,MI,27327,,,,,,
I3,MI,27329,,,,,,
I3,MI,27333,,,,,,
I3,MCL,27327,,,,,,
I3,MCL,27331,,,,,,
I3,MCR,27327,,,,,,
I3,I6,27294,,,,,,
I3,pm4,27343,,,,,,
I3,pm4,27345,,,,,,
I3,pm4,27397,,,,,,
M3L,pm4,27570,,,,,,
M3L,pm4,27572,,,,,,
